ID,EN,FR,DE
6540,diaspora,diaspora,diaspora
6541,community migration policy,politique migratoire communautaire,gemeinschaftliche migrationspolitik
6542,dependence of elderly persons,dependance des personnes agees,abhangigkeit der alteren menschen
6543,population forecast,prevision demographique,bevolkerungsprognose
6544,generation renewal,remplacement des generations,geburtenbilanz
6545,christian,chretien,christ
6546,muslim,musulman,muslim
6547,european association,association europeenne,europaische vereinigung
6548,independence of the disabled,autonomie des handicapes,selbststandigkeit von behinderten
6549,social behaviour,comportement social,sozialverhalten
6550,integration of the disabled,integration des handicapes,soziale integration der behinderten
6552,social pact,pacte social,sozialpakt
6553,child pornography,pornographie enfantine,kinderpornografie
6554,religious tourism,tourisme religieux,pilgerfahrt
6555,youth violence,violence des jeunes,jugendgewalt
6556,violence at school,violence a l'ecole,gewalt in der schule
6557,domestic violence,violence domestique,hausliche gewalt
6558,cultural exception,exception culturelle,kulturelle ausnahme
6559,european identity,identite europeenne,europaische identitat
6560,religious fundamentalism,integrisme religieux,religioser fundamentalismus
6561,new religion,nouvelle religion,new-age-bewegung
6562,european cultural event,manifestation culturelle europeenne,europaische kulturveranstaltung
6563,cultural promotion,promotion culturelle,werbung fur kulturveranstaltung
6564,universal health coverage,couverture maladie universelle,einwohnerkrankenversicherung
6565,medical law,droit medical,medizinrecht
6566,medical error,erreur medicale,arztlicher behandlungsfehler
6567,chronic illness,maladie chronique,chronische krankheit
6568,generic drug,medicament generique,generisches arzneimittel
6569,food safety,securite alimentaire,lebensmittelsicherheit
6570,palliative care,soins palliatifs,palliativmedizin
6609,self-regulation,autoreglementation,selbstkontrolle auf freiwilliger basis
6610,administrative code,code administratif,verwaltungsregeln
6611,history of law,histoire du droit,rechtsgeschichte
6612,unintentional crime,delit non intentionnel,fahrlassige straftat
6613,psychological harassment,harcelement moral,psychoterror
6614,impunity,impunite,straflosigkeit
6615,criminal responsibility of minors,responsabilite penale des mineurs,strafrechtliche verantwortlichkeit von minderjahrigen
6616,sexual tourism,tourisme sexuel,sextourismus
6617,arbitration,arbitrage,streitschlichtung
6618,backlog of court cases,arriere judiciaire,ruckstand der gerichte
6619,injunction,injonction,gerichtliche anordnung
6621,repeal,abrogation,aufhebung
6622,extraterritorial jurisdiction,competence extraterritoriale,extraterritoriale gerichtsbarkeit
6623,independence of the judiciary,independance de la justice,unabhangigkeit der justiz
6624,maritime court,juridiction maritime,seerechtszustandigkeit
6625,marriage of convenience,mariage de complaisance,scheinehe
6626,schengen information system,systeme d'information schengen,schengen-informationssystem
6627,religious conflict,conflit religieux,glaubenskrieg
6628,right to health,droit a la sante,recht auf gesundheit
6697,energy diversification,diversification energetique,diversifizierung der energieversorgung
6699,gas field,gisement de gaz,erdgas-lagerstatte
6700,energy efficiency,rendement energetique,energetischer wirkungsgrad
6701,strategic reserves,reserve strategique,strategische lagerhaltung
6702,oilfield,gisement de petrole,erdol-lagerstatte
6703,nuclear research,recherche nucleaire,kernforschung
6704,enlargement of an international organisation,elargissement d'une organisation internationale,erweiterung einer internationalen organisation
6705,industrial integration,integration industrielle,industrielle integration
6706,accession criteria,critere d'adhesion,beitrittskriterien
6708,accession negotiations,negociation d'adhesion,beitrittsverhandlungen
6709,esdp,pesd,esvp
6710,pre-accession strategy,strategie de preadhesion,strategie der beitrittsvorbereitung
6711,european consumer centres network,reseau des centres europeens des consommateurs,netz der europaischen verbraucherzentren
6713,microloan,microcredit,mikrokredit
6714,microfinance,microfinance,mikrofinanzierung
6715,cindynics,cindynique,wissenschaftliches risikomanagement
6716,cosmology,cosmologie,kosmologie
6717,assisting spouse,conjoint aidant,mithelfender ehepartner
6718,casual employment,travail occasionnel,fallweise geleistete aushilfsarbeit
6720,mechanical vibration,vibration mecanique,mechanische erschutterung
6721,forest ranger,garde forestier,forstaufseher
6722,peace,paix,friede
6723,eurojust,eurojust,eurojust
6724,european arrest warrant,mandat d'arret europeen,europaischer haftbefehl
6725,eu accession treaty,traite d'adhesion ue,eu-beitrittsvertrag
6726,treaty of nice,traite de nice,vertrag von nizza
6727,help for victims,aide aux victimes,opferhilfe
6728,youth detention centre,centre d'education surveillee,erziehungsanstalt fur straffallige jugendliche
6729,internal law of religions,droit interne des religions,religioses recht
6730,buddhist law,droit bouddhique,buddhistisches recht
6731,canon law,droit canonique,kanonisches recht
6732,protestant church law,droit ecclesial protestant,protestantisches kirchenrecht
6733,hebrew law,droit hebraique,hebraisches recht
6734,hindu law,droit hindouiste,hinduistisches recht
6735,islamic law,droit musulman,muslimisches recht
6736,tax debt write-off,annulation de dette fiscale,erlass einer steuerschuld
6737,illegal building,construction illegale,nicht bewilligtes gebaude
6738,street children,enfant des rues,strassenkind
6739,hooliganism,houliganisme,hooliganismus
6740,deprived urban area,zone urbaine defavorisee,benachteiligter stadtbezirk
6741,emergency medical treatment,medecine d'urgence,notfallmedizin
6743,vandalism,vandalisme,vandalismus
6744,eugenics,eugenique,eugenik
6745,working poor,travailleur pauvre,arbeitende arme
6747,non-ionising radiation,rayonnement non ionisant,nicht ionisierende strahlung
6748,company growth,croissance de l'entreprise,steigerung der unternehmenstatigkeiten
6749,entrepreneurship,esprit d'entreprise,unternehmergeist
6750,international merger,fusion internationale,grenzuberschreitende unternehmensfusion
6751,corporate governance,gouvernement d'entreprise,unternehmensfuhrungskultur
6752,social labelling,label social,sozialgutesiegel
6753,company buyout,rachat d'entreprise,unternehmensubernahme
6754,reintegration enterprise,entreprise d'insertion,eingliederungsunternehmen
6755,start-up,jeune pousse,start-up-unternehmen
6756,micro-enterprise,microentreprise,kleinstunternehmen
6757,european cooperative,cooperative europeenne,europaische genossenschaft
6763,teaching quality,qualite de l'enseignement,qualitat des unterrichts
6764,parliamentary library,bibliotheque parlementaire,parlamentsbibliothek
6765,quote,citation,zitat
6766,commentary on a law,commentaire de loi,gesetzeskommentar
6767,electronic document,document electronique,elektronisches dokument
6768,tourist guide,guide touristique,reisefuhrer
6769,media library,mediatheque,mediathek
6770,disinformation,desinformation,desinformation
6771,internet access provider,fournisseur d'acces,internet-provider
6772,web surfer,internaute,internetbenutzer
6773,search engine,moteur de recherche,suchmaschine
6774,telecommunications policy,politique de la telecommunication,telekommunikationspolitik
6775,internet site,site internet,website
6776,mobile phone,telephone mobile,mobiltelefon
6777,video surveillance,videosurveillance,video-uberwachung
6778,cryptography,cryptographie,verschlusselung
6779,computer virus,virus informatique,computervirus
6781,basic needs,besoins fondamentaux,grundbedurfnisse
6782,region-eu relationship,relation region-union europeenne,beziehungen zwischen den regionen und der europaischen union
6783,non-commercial sector,secteur non marchand,nichtmarktsektor
6784,mendicity,mendicite,bettelei
6785,social transfers,transferts sociaux,sozialtransfers
6786,economic value,valeur economique,wirtschaftlicher wert
6787,gelatine,gelatine,gelatine
6788,essential oil,huile essentielle,atherisches ol
6789,food supplement,complement alimentaire,nahrungserganzungsmittel
6790,organic product,produit biologique,erzeugnis der biologischen landwirtschaft
6821,brick,brique,ziegel
6822,stone,pierre,stein
6823,special metal,metal special,spezialmetall
6824,diesel engine,moteur diesel,dieselmotor
6825,sawmill,scierie,sagewerk
6848,navigation aid,aide a la navigation,navigationsausrustung
6849,town traffic,circulation urbaine,stadtischer verkehr
6850,sustainable mobility,mobilite durable,nachhaltige mobilitat
6851,intelligent transport system,systeme de transport intelligent,intelligentes verkehrssystem
6852,satellite navigation,navigation par satellite,satellitennavigation
6854,pedestrian,pieton,fussganger
6855,ground handling,assistance en escale,bodenabfertigungsdienste
6862,secularity,laicite,trennung von kirche und staat
6881,confederal state,etat confederal,staatenbund
6882,regional state,etat regional,staatsform der regionalen autonomie
6883,oligarchy,oligarchie,oligarchie
6884,protocol,protocole,protokoll
6885,symbol of state,symbole de l'etat,staatssymbol
6886,nationalist party,parti nationaliste,nationalistische partei
6887,autonomist party,parti autonomiste,autonomistische partei
6888,extremist party,parti extremiste,extremistische partei
6890,electoral reform,reforme electorale,wahlreform
6891,parliamentary inquiry,enquete parlementaire,parlamentarische untersuchung
6892,legislative drafting,redaction legislative,gesetzesformulierung
6893,status of the person elected,statut de l'elu,abgeordnetenrechte
6894,electronic government,administration electronique,elektronische verwaltung
6896,government statement,declaration du gouvernement,regierungserklarung
6897,governance,gouvernance,governance
6898,parliamentary diplomacy,diplomatie parlementaire,parlamentarische diplomatie
6899,periodic penalty payment,astreinte,zwangsstrafe
6900,expulsion from housing,expulsion d'un logement,ausweisung aus einer wohnung
6901,automatic vending machine,distributeur automatique,verkaufsautomat
6902,seed capital,capital d'amorcage,startkapital
6903,aesthetic surgery,chirurgie esthetique,schonheitschirurgie
6904,medical report,expertise medicale,medizinisches gutachten
6905,dropout,abandon scolaire,vorzeitiger schulabgang
6906,parabolic aerial,antenne parabolique,parabolantenne
6907,forum,forum,forum
6908,interactivity,interactivite,merkmal der interaktivitat
6909,popularising science,vulgarisation scientifique,popularisierung wissenschaftlicher erkenntnisse
6910,knowledge management,gestion des connaissances,wissensmanagement
6911,port administration,administration portuaire,hafenverwaltung
6912,tunnel,tunnel,tunnelbau
6913,outsourcing,externalisation,auslagerung
6914,chemical accident,accident chimique,chemieunfall
6915,cosmetics industry,industrie cosmetique,erzeugung von kosmetika
6916,building technique,technique de construction,bautechnik
6917,cooperation on agriculture,cooperation agricole,zusammenarbeit im bereich der landwirtschaft
6918,cervidae,cervide,familie der cervidae
6919,weapons' destruction,destruction des armes,waffenvernichtung
6920,cooperation in the field of education,cooperation en education,zusammenarbeit im bildungswesen
6921,gas industry,industrie du gaz,gewinnung von erdgas
6922,international labour law,droit international du travail,internationales arbeitsrecht
6923,international trade law,droit commercial international,internationales handelsrecht
6924,paternity leave,conge de paternite,vaterschaftsurlaub
6925,prisoner work,travail du detenu,haftlingsarbeit
6926,regional market,marche regional,regionaler markt
6927,regional security,securite regionale,sicherheit einer geografischen region
6928,reindeer,renne,ren
6929,telemedicine,telemedecine,telemedizin
6930,territorial dispute,contentieux territorial,gebietsanspruch
7126,european food safety authority,autorite europeenne de securite des aliments,europaische behorde fur lebensmittelsicherheit
7127,european constitution,constitution europeenne,europaische verfassung
7128,community corpus juris,corpus juris communautaire,gemeinschaftliches corpus juris
7129,artist's resale right,droit de suite,folgerecht des urhebers des originals eines kunstwerkes
7130,scientific report,expertise scientifique,wissenschaftliches gutachten
7131,social impact,impact social,soziale auswirkungen
7132,pre-accession aid,aide de preadhesion,heranfuhrungshilfe
7133,plant variety right,obtention vegetale,pflanzensorte
7134,post-communism,postcommunisme,postkommunismus
7135,reproductive health,sante genesique,fortpflanzungsgesundheit
7136,universal service,service universel,universaldienst
7137,international criminal tribunal,tribunal penal international,internationales kriegsverbrechertribunal
7138,vision of europe,vision de l'europe,vision europas
7184,institutional agreement,accord institutionnel,institutionelles abkommen
7185,cefta,alece,cefta
7186,central commission for navigation on the rhine,commission centrale pour la navigation du rhin,zentralkommission fur die rheinschifffahrt
7187,public office,charge publique,offentliches amt
7188,conscience clause,clause de conscience,gewissensklausel
7189,political cohabitation,cohabitation politique,politische kohabitation
7190,composition of a parliamentary committee,composition d'une commission parlementaire,zusammensetzung eines parlamentarischen ausschusses
7191,conduct of meetings,conduite de reunion,sitzungsvorsitz
7192,inter-american court of human rights,cour interamericaine des droits de l'homme,interamerikanischer gerichtshof fur menschenrechte
7193,international criminal court,cour penale internationale,internationaler strafgerichtshof
7194,framework decision,decision-cadre,rahmenbeschluss
7195,personal development,developpement personnel,personliche entwicklung
7197,multiracial state,etat multiethnique,vielvolkerstaat
7198,federated states of micronesia,etats federes de micronesie,die foderierten staaten von mikronesien
7199,evacuation of the population,evacuation de la population,evakuierung der bevolkerung
7200,local access to the law,justice de proximite,burgernahe justiz
7201,business morals,moralite de la vie economique,wirtschaftliche moral
7202,organisation for the prohibition of chemical weapons,organisation pour l'interdiction des armes chimiques,organisation fur das verbot chemischer waffen
7203,world tourism organisation,organisation mondiale du tourisme,weltorganisation fur tourismus
7204,agricultural sector representative body,organisme de representation agricole,landwirtschaftliche interessenvertretung
7205,andean parliament,parlement andin,andenparlament
7206,central american parliament,parlement centramericain,zentralamerikanisches parlament
7207,nafta countries,pays de l'alena,nafta-staaten
7208,caucasus countries,pays du caucase,kaukasuslander
7209,communication skills,pratique de communication,redegewandtheit
7210,negotiation skills,pratique de negociation,verhandlungsgeschick
7211,latin american parliament,parlement latino-americain,lateinamerikanisches parlament
7212,writing skills,pratique de redaction,gewandtheit im schriftlichen ausdruck
7213,first world war,premiere guerre mondiale,erster weltkrieg
7214,second world war,seconde guerre mondiale,zweiter weltkrieg
7215,result of the vote,resultat du vote,abstimmungsergebnis
7216,social democracy,social-democratie,sozialdemokratie
7217,statute for members of the parliament,statut des parlementaires,abgeordnetenstatut
7218,geographical information system,systeme d'information geographique,geografisches informationssystem
7219,digital technology,technologie numerique,digitale technologie
7220,free trade area of the americas,zone de libre-echange des ameriques,amerikanische freihandelszone
7221,european agency for reconstruction,agence europeenne pour la reconstruction,europaische agentur fur den wiederaufbau
7222,food and veterinary office,office alimentaire et veterinaire,lebensmittel- und veterinaramt
7223,neighbourhood police,police de proximite,burgernahe polizei
7337,interparliamentary delegation,delegation interparlementaire,interparlamentarische delegation
7339,buddhist,bouddhiste,buddhist
7340,military science,science militaire,militarwissenschaft
7341,school canteen,cantine scolaire,schulkantine
7342,ecclesiastical council,concile,konzil
7343,party congress,congres d'un parti,parteitag
7346,congress of local and regional authorities of europe,congres des pouvoirs locaux et regionaux de l'europe,kongress der gemeinden und regionen europas
7347,citizen's duties,devoirs du citoyen,burgerpflichten
7348,right to physical integrity,droit a l'integrite physique,recht auf korperliche unversehrtheit
7349,military criminal law,droit penal militaire,militarstrafrecht
7350,roman law,droit romain,romisches recht
7351,tax rebate,remboursement fiscal,steuerruckzahlung
7352,rights of access,droit de visite,besuchsrecht
7353,territorial enclave,enclave territoriale,territorialenklave
7354,kidney disease,maladie renale,nierenkrankheit
7355,pharmacy,pharmacie,apotheke
7358,railway station,gare ferroviaire,bahnhof
7359,bus station,gare routiere,autobusbahnhof
7360,historical geography,geographie historique,historische geografie
7361,hindu,hindouiste,hindu
7362,world history,histoire universelle,weltgeschichte
7363,graphic illustration,illustration graphique,abbildung
7364,incunabula,incunable,inkunabel
7365,administrative offence,infraction administrative,verwaltungsvergehen
7366,harmonisation law,loi d'harmonisation,harmonisierender rechtsakt
7368,manifesto,manifeste,manifest
7369,manuscript,manuscrit,handschrift
7370,legal methodology,methodologie juridique,juristische methodologie
7371,mythology,mythologie,mythologie
7373,antiglobalisation movement,mouvement antimondialisation,anti-globalisierungsbewegung
7374,cultural movement,mouvement culturel,kulturbewegung
7375,hinge party,parti charniere,pendelpartei
7376,extra-parliamentary party,parti extraparlementaire,ausserparlamentarische partei
7377,monarchist party,parti monarchiste,monarchistenpartei
7378,regionalist party,parti regionaliste,regionalistische partei
7379,plan,plan,karte
7380,regional police,police regionale,regionalpolizei
7381,municipal police,police locale,gemeindepolizei
7382,non-contributory  benefit,prestation non contributive,beitragslose sozialleistung
7383,local budget,budget local,gemeindebudget
7384,regional budget,budget regional,regionalhaushalt
7385,political propaganda,propagande politique,politische propaganda
7386,presidential regime,regime presidentiel,prasidentialregime
7387,primitive religion,religion primitive,naturreligion
7388,student residence,residence d'etudiant,studentenheim
7389,sexuality,sexualite,sexualitat
7390,sociology of law,sociologie du droit,rechtssoziologie
7391,rural sociology,sociologie rurale,soziologie landlicher gemeinden
7392,urban sociology,sociologie urbaine,soziologie stadtischer gemeinden
7393,sociology of education,sociologie de l'education,erziehungssoziologie
7394,political sociology,sociologie politique,politische soziologie
7395,gas supply,distribution du gaz,gasversorgung
7396,living will,testament de vie,medizinisches testament
7397,sacred text,texte sacre,heilige schrift
7398,video library,videotheque,videothek
7399,natural law,droit naturel,naturrecht
7410,biometrics,biometrie,biometrik
7411,right to housing,droit au logement,recht auf eine wohnung
7412,rapid reaction force,force de reaction rapide,schnelleingreiftruppe
7413,populism,populisme,populismus
7414,civil union,union civile,eingetragene partnerschaft
7415,association of caribbean states,association des etats des caraibes,assoziation karibischer staaten
7416,patriotic movement,mouvement patriotique,patriotische bewegung
7417,permanent representation to the eu,representation permanente aupres de l'ue,standige vertretung beim rat der eu
7809,military law,droit militaire,militarrecht
7810,learning technique,methode d'apprentissage,lernmethode
7811,mnemonics,methode mnemotechnique,memotechnik
7812,psychometric test,test psychometrique,psychometrischer test
7813,cotonou agreement,accord de cotonou,ubereinkommen von cotonou
7814,regions of poland,regions de la pologne,regionen polens
7815,regions of slovenia,regions de la slovenie,regionen sloweniens
7816,regions of the czech republic,regions de la republique tcheque,regionen der tschechischen republik
7817,regions of slovakia,regions de la slovaquie,regionen der slowakei
7818,gorenjska,gorenjska,gorenjska
7819,goriska,goriska,goriska
7820,south-east slovenia,slovenie du sud-est,sudostslowenien
7821,koroska,koroska,koroska
7822,notranjsko-kraska,notranjsko-kraska,notranjsko-kraska
7823,obalno-kraska,obalno-kraska,obalno-kraska
7824,podravska,podravska,podravska
7825,pomurska,pomurska,pomurska
7826,savinjska,savinjska,savinjska
7827,spodnjeposavska,spodnjeposavska,spodnjeposavska
7828,zasavska,zasavska,zasavska
7829,central slovenia,slovenie centrale,zentralslowenien
7830,bratislava region,region de bratislava,region bratislava
7834,trnava region,region de trnava,region trnava
7835,trencin region,region de trencin,region trencin
7836,nitra region,region de nitra,region nitra
7837,banska bystrica region,region de banska bystrica,region banska bystrica
7838,presov region,region de presov,region presov
7839,kosice region,region de kosice,region kosice
7840,southern bohemia,boheme du sud,sudbohmen
7841,hradec kralove,hradec kralove,hradec kralove
7842,karlovy vary,karlovy vary,karlovy vary
7843,liberec,liberec,liberec
7844,southern moravia,moravie du sud,sudmahren
7845,moravia-silesia,moravie-silesie,mahrisch schlesien
7846,olomouc,olomouc,olomouc
7847,pardubice,pardubice,pardubice
7848,pilsen,pilsen,pilsen
7849,prague,prague,prag
7850,usti,usti,usti
7851,vysocina,vysocina,vysocina
7852,zlin,zlin,zlin
7853,central bohemia,boheme centrale,mittelbohmen
7854,zilina region,region de zilina,region zilina
7855,regions of estonia,regions de l'estonie,regionen estlands
7856,northern estonia,estonie du nord,nordestland
7857,western estonia,estonie occidentale,westestland
7858,central estonia,estonie centrale,mittelestland
7859,north-eastern estonia,estonie du nord-est,nordostestland
7860,southern estonia,estonie du sud,sudestland
7861,regions of latvia,regions de la lettonie,regionen lettlands
7862,latgale,latgale,latgale
7864,riga,riga,riga
7865,vidzeme,vidzeme,vidzeme
7866,kurzeme,kurzeme,kurzeme
7867,zemgale,zemgale,zemgale
7868,regions of lithuania,regions de la lituanie,regionen litauens
7869,alytus county,district d'alytus,alytus
7870,kaunas county,district de kaunas,kaunas
7871,klaipeda county,district de klaipeda,klaipeda
7872,marijampole county,district de marijampole,marijampole
7873,panevezys county,district de panevezys,panevezys
7874,siauliai county,district de siauliai,siauliai
7875,taurage county,district de taurage,taurage
7876,telsiai county,district de telsiai,telsiai
7877,utena county,district d'utena,utena
7878,vilnius county,district de vilnius,vilnius
7879,regions of hungary,regions de la hongrie,regionen ungarns
7880,oulu,oulu,oulu
7881,western finland,finlande occidentale,westfinnland
7889,attica,attique,attika
7890,western greece,grece occidentale,westgriechenland
7891,central macedonia,macedoine centrale,zentralmakedonien
7892,eastern macedonia and thrace,macedoine orientale et thrace,ostmakedonien und thrakien
7893,western macedonia,macedoine occidentale,westmakedonien
7895,northern aegean,egee septentrionale,nordagais
7896,southern aegean,egee meridionale,sudagais
7899,southern alfold,alfold meridional,sud-alfold
7900,northern alfold,alfold septentrional,nord-alfold
7901,central hungary,hongrie centrale,mittelungarn
7902,northern hungary,hongrie septentrionale,nordungarn
7903,central transdanubia,transdanubie centrale,zentraltransdanubien
7904,southern transdanubia,transdanubie meridionale,sudliches transdanubien
7905,western transdanubia,transdanubie occidentale,westliches transdanubien
7926,intellectual capital,capital intellectuel,geistiges kapital
7927,european data protection supervisor,controleur europeen de la protection des donnees,europaischer datenschutzbeauftragter
7928,epso,epso,epso
7929,judicial review,controle juridictionnel,normenkontrolle
7930,open method of coordination,methode ouverte de coordination,offene koordinierungsmethode
7931,nanotechnology,nanotechnologie,nanotechnik
7932,european neighbourhood policy,politique europeenne de voisinage,europaische nachbarschaftspolitik
7933,un international drug control programme,programme des nations unies pour le controle international des drogues,drogenkontrollprogramm der vereinten nationen
7934,public-private partnership,partenariat public-prive,offentlich-private partnerschaft
7935,diplomatic protocol,protocole diplomatique,diplomatisches protokoll
7936,european maritime safety agency,agence europeenne pour la securite maritime,europaische agentur fur die sicherheit des seeverkehrs
7937,european aviation safety agency,agence europeenne de la securite aerienne,europaische agentur fur flugsicherheit
7938,european network and information security agency,agence europeenne chargee de la securite des reseaux et de l'information,europaische agentur fur netz- und informationssicherheit
7939,digital divide,fosse numerique,digitale kluft
7941,language policy,politique linguistique,sprachpolitik
7942,corporate social responsibility,responsabilite sociale de l'entreprise,soziale verantwortung von unternehmen
7943,speed reading,methode de lecture rapide,schnelllesen
7944,traffic offence,infraction au code de la route,verstoss gegen die strassenverkehrsordnung
7945,icebreaker,brise-glace,eisbrecher
7946,care allowance,allocation de soins,pflegegeld
7947,unsolicited electronic advertising,publicite electronique non sollicitee,unverlangt zugesandte werbung per e-mail
7948,organisational culture,culture organisationnelle,organisationskultur
7949,outplacement,aide au reclassement,eingliederungshilfe
7950,internet address,adresse internet,internetadresse
7951,knowledge economy,economie de la connaissance,wissensbasierte wirtschaft
7952,conference of presidents,conference des presidents,konferenz der vorsitzenden
7953,european union institute for security studies,institut d'etudes de securite de l'union europeenne,institut der europaischen union fur sicherheitsstudien
7954,european union satellite centre,centre satellitaire de l'union europeenne,satellitenzentrum der europaischen union
7955,stem cell,cellule souche,stammzelle
7956,offshoring,delocalisation,verlagerung
7959,military cemetery,cimetiere militaire,militarfriedhof
7965,mazovia province,voievodie de mazovie,woiwodschaft masowien
7966,little poland province,voievodie de petite-pologne,woiwodschaft kleinpolen
7967,silesia province,voievodie de silesie,woiwodschaft schlesien
7968,lublin province,voievodie de lublin,woiwodschaft lublin
7969,lower carpathians province,voievodie des basses-carpates,woiwodschaft karpatenvorland
7970,western pomerania province,voievodie de pomeranie occidentale,woiwodschaft westpommern
7971,holy cross province,voievodie de sainte-croix,woiwodschaft heiligenkreuz
7972,lodz province,voievodie de lodz,woiwodschaft lodz
7973,lubus province,voievodie de lubus,woiwodschaft lebus
7974,lower silesia province,voievodie de basse-silesie,woiwodschaft niederschlesien
7975,podlachia province,voievodie de podlachie,woiwodschaft podlachien
7976,greater poland province,voievodie de grande-pologne,woiwodschaft grosspolen
7977,pomerania,voievodie de pomeranie,woiwodschaft pommern
7978,opole province,voievodie d'opole,woiwodschaft oppeln
7979,kuyavia-pomerania province,voievodie de cujavie-pomeranie,woiwodschaft kujawien-pommern
7980,varmia-mazuria province,voievodie de varmie-mazurie,woiwodschaft ermland-masuren
7981,parental allowance,allocation parentale,elternbeihilfe
7982,european defence agency,agence europeenne de defense,europaische verteidigungsagentur
7983,european centre for disease prevention and control,centre europeen de prevention et de controle des maladies,europaisches zentrum fur die pravention und die kontrolle von krankheiten
7984,european chemicals agency,agence europeenne des produits chimiques,europaische agentur fur chemische stoffe
7985,european railway agency,agence ferroviaire europeenne,europaische eisenbahnagentur
7986,european police college,college europeen de police,europaische polizeiakademie
7987,prohibited weapon,arme prohibee,verbotene waffe
7988,vasternorrland county,vasternorrland,vasternorrland
7989,jamtland county,jamtland,jamtland
7990,varmland county,varmland,varmland
7991,dalarna county,dalecarlie,dalarna
7992,gavleborg county,gavleborg,gavleborg
7993,jonkoping county,jonkoping,jonkoping
7994,kronoberg county,kronoberg,kronoberg
7995,kalmar county,kalmar,kalmar
7996,gotland county,gotland,gotland
7998,blekinge county,blekinge,blekinge
7999,skane county,scanie,schonen
8000,halland county,halland,halland
8001,vastra gotaland county,vastra gotaland,vastra gotaland
8002,uppsala county,upsala,uppsala
8003,sodermanland county,sodermanland,sodermanland
8004,ostergotland county,ostergotland,ostergotland
8005,orebro county,orebro,orebro
8006,vastmanland county,vastmanland,vastmanland
8007,vasterbotten county,vasterbotten,vasterbotten
8008,norrbotten county,norrbotten,norrbotten
8189,regions of romania  [v4.3],regions de la roumanie  [v4.3],regionen rumaniens  [v4.3]
8278,cefta countries  [v4.3],pays de l'alece  [v4.3],cefta-staaten  [v4.3]
8279,hovedstaden  [v4.3],hovedstaden  [v4.3],hovedstaden  [v4.3]
8280,midtjylland  [v4.3],midtjylland  [v4.3],midtjylland  [v4.3]
8281,nordjylland  [v4.3],nordjylland  [v4.3],nordjylland  [v4.3]
8282,sjaelland  [v4.3],sjaelland  [v4.3],sjaelland  [v4.3]
8283,syddanmark  [v4.3],syddanmark  [v4.3],syddanmark  [v4.3]
8284,community fisheries control agency  [v4.3],agence communautaire de controle des peches  [v4.3],europaische fischereiaufsichtsbehorde  [v4.3]
8285,stabilisation and association agreement  [v4.3],accord de stabilisation et d'association  [v4.3],stabilisierungs- und assoziierungsabkommen  [v4.3]
8300,arab maghreb union  [v4.3],union du maghreb arabe  [v4.3],union des arabischen maghreb  [v4.3]
8301,regions of bulgaria  [v4.3],regions de la bulgarie  [v4.3],regionen bulgariens  [v4.3]
8303,dolphin  [v4.3],dauphin  [v4.3],delfin  [v4.3]
8304,yuzhen tsentralen (bulgaria)  [v4.3],yuzhen tsentralen (bulgarie)  [v4.3],yuzhen tsentralen (bulgarien)  [v4.3]
8305,haskovo region  [v4.3],region de haskovo  [v4.3],region haskovo  [v4.3]
8306,kardzhali region  [v4.3],region de kardjali  [v4.3],region kardzhali  [v4.3]
8307,pazardzhik region  [v4.3],region de pazardjik  [v4.3],region pazardzhik  [v4.3]
8308,plovdiv region  [v4.3],region de plovdiv  [v4.3],region plovdiv  [v4.3]
8309,smolyan region  [v4.3],region de smolian  [v4.3],region smolyan  [v4.3]
8310,stara zagora region  [v4.3],region de stara zagora  [v4.3],region stara zagora  [v4.3]
8311,severen tsentralen (bulgaria)  [v4.3],severen tsentralen (bulgarie)  [v4.3],severen tsentralen (bulgarien)  [v4.3]
8312,gabrovo region  [v4.3],region de gabrovo  [v4.3],region gabrovo  [v4.3]
8313,lovech region  [v4.3],region de lovech  [v4.3],region lovech  [v4.3]
8314,pleven region  [v4.3],region de pleven  [v4.3],region pleven  [v4.3]
8315,ruse region  [v4.3],region de ruse  [v4.3],region ruse  [v4.3]
8316,veliko tarnovo region  [v4.3],region de veliko tarnovo  [v4.3],region veliko tarnovo  [v4.3]
8317,severoiztochen (bulgaria)  [v4.3],severoiztochen (bulgarie)  [v4.3],severoiztochen (bulgarien)  [v4.3]
8318,dobrich region  [v4.3],region de dobrich  [v4.3],region dobrich  [v4.3]
8319,razgrad region  [v4.3],region de razgrad  [v4.3],region razgrad  [v4.3]
8320,shumen region  [v4.3],region de shumen  [v4.3],region shumen  [v4.3]
8321,silistra region  [v4.3],region de silistra  [v4.3],region silistra  [v4.3]
8322,targovishte region  [v4.3],region de targovishte  [v4.3],region targovishte  [v4.3]
8323,varna region  [v4.3],region de varna  [v4.3],region varna  [v4.3]
8324,severozapaden (bulgaria)  [v4.3],severozapaden (bulgarie)  [v4.3],severozapaden (bulgarien)  [v4.3]
8325,montana region  [v4.3],region de montana  [v4.3],region montana  [v4.3]
8326,vidin region  [v4.3],region de vidin  [v4.3],region vidin  [v4.3]
8327,vratza region  [v4.3],region de vratsa  [v4.3],region vratsa  [v4.3]
8328,yugoiztochen (bulgaria)  [v4.3],yugoiztochen (bulgarie)  [v4.3],yugoiztochen (bulgarien)  [v4.3]
8329,burgas region  [v4.3],region de bourgas  [v4.3],region burgas  [v4.3]
8330,sliven region  [v4.3],region de sliven  [v4.3],region sliven  [v4.3]
8331,yambol region  [v4.3],region de yambol  [v4.3],region yambol  [v4.3]
